Branch;ID;ParentID;Round;Card;Opponent;Select;Conf;PM;P0;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26
0;1;0;0;0;1;1;1e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;2;1;0;12;1;1;1.00001;5.99994e-05;0.0296797;0.0375496;0.0428696;0.0550395;0.0501195;0.0433496;0.0315697;0.0190598;0.0102799;0.00475995;0.00162998;0.000389996;0.000139999;0.0269597;0.0576894;0.0677193;0.0892091;0.101929;0.095859;0.0864991;0.0614194;0.0365196;0.0197798;0.00887991;0.00242998;0.000839992;0.0177598
0;3;2;0;11;0;1;0.29058;3.44139e-05;0.0368573;0.038991;0.046975;0.0603276;0.0475256;0.0440498;0.029183;0.0162778;0.00801845;0.00354463;0.00096359;0.000240898;6.88279e-05;0.0348269;0.0644917;0.0715466;0.0970473;0.101659;0.0932273;0.0793929;0.0538234;0.0288045;0.0150733;0.00616009;0.00137656;0.000412967;0.0190653
0;4;2;0;7;0;0;0.24235;0.000123788;0.0271096;0.0378791;0.0401485;0.0533113;0.0526511;0.0438622;0.0320198;0.0195585;0.010522;0.0050753;0.00148545;0.000330101;0.000206313;0.0236022;0.0552507;0.065979;0.0904064;0.10229;0.0990716;0.0902826;0.0635032;0.0357747;0.0215391;0.00895399;0.00206313;0.000825253;0.0161337
0;5;2;0;1;0;0;0.21619;4.62556e-05;0.0238216;0.0350618;0.0406587;0.049586;0.0490309;0.0420463;0.0324252;0.0232666;0.0134141;0.00670706;0.00272908;0.000647579;0.000277534;0.0214626;0.0494472;0.0628614;0.0819649;0.0987557;0.0970443;0.0914473;0.0710024;0.0455618;0.0251631;0.0134141;0.00444054;0.00143392;0.0162357
0;6;2;0;6;0;0;0.25092;3.98533e-05;0.0288937;0.0377013;0.0426431;0.0552766;0.0516101;0.0431612;0.033158;0.0181731;0.00996333;0.0041846;0.00159413;0.000398533;3.98533e-05;0.025825;0.0592619;0.0691455;0.0852064;0.104615;0.0947712;0.0868006;0.0599394;0.0383788;0.0188905;0.00805037;0.00227164;0.00083692;0.0191296
0;9;3;0;24;1;0;0.00796;0;0.0452261;0.040201;0.0414573;0.0540201;0.0464824;0.0464824;0.0251256;0.0113065;0.0100503;0.00251256;0.00251256;0;0;0.031407;0.0728643;0.0690955;0.0816583;0.113065;0.0992462;0.0791457;0.0577889;0.0251256;0.0138191;0.00502513;0.00376884;0;0.0213568
0;13;3;0;33;1;0;0.00772;0;0.0323834;0.0401554;0.0544041;0.0595855;0.0427461;0.0544041;0.0349741;0.011658;0.0129534;0.00647668;0;0;0;0.0310881;0.0608808;0.0699482;0.0777202;0.107513;0.0971503;0.0764249;0.0595855;0.0272021;0.011658;0.00518135;0.00259067;0;0.0220207
0;17;3;0;31;1;0;0.00763;0;0.0314548;0.0471822;0.0419397;0.0707733;0.0484928;0.0471822;0.0275229;0.0235911;0.00393185;0.0078637;0.00262123;0;0;0.0249017;0.0629096;0.0707733;0.100917;0.0996068;0.0904325;0.0720839;0.0602883;0.0275229;0.0183486;0.00655308;0.00131062;0;0.0104849
0;21;3;0;29;1;0;0.00742;0;0.0336927;0.0458221;0.0431267;0.0512129;0.0485175;0.0660377;0.0390836;0.0242588;0.00673854;0.00943396;0;0;0;0.0283019;0.0781671;0.0808625;0.0714286;0.106469;0.0889488;0.0781671;0.0458221;0.0296496;0.00539084;0.00404313;0;0;0.0134771
0;26;3;0;20;1;0;0.00803;0;0.0311332;0.0423412;0.0348692;0.0622665;0.0510585;0.0410959;0.0298879;0.0136986;0.00996264;0.00747198;0;0;0;0.0298879;0.0597758;0.0734745;0.0933997;0.123288;0.0946451;0.0821918;0.0398506;0.0386052;0.011208;0.00124533;0.00249066;0.00124533;0.0236613
0;30;3;0;8;1;0;0.00837;0.00119474;0.0322581;0.0322581;0.0250896;0.0585424;0.0525687;0.046595;0.0238949;0.0191159;0.0107527;0.00358423;0.00119474;0.00119474;0;0.0262843;0.0728793;0.0537634;0.0919952;0.124253;0.0872163;0.0872163;0.0501792;0.0346476;0.0203106;0.00955794;0;0;0.0322581
0;34;3;0;50;1;0;0.00783;0;0.0293742;0.0229885;0.0613027;0.0740741;0.045977;0.0395913;0.0293742;0.0140485;0.0191571;0.0063857;0;0;0.00127714;0.0332056;0.0472541;0.0600255;0.0932312;0.0945083;0.106003;0.0855683;0.0536398;0.0421456;0.0153257;0.00766284;0.00127714;0;0.0153257
0;38;3;0;2;1;0;0.00862;0;0.0313225;0.0301624;0.0382831;0.0591647;0.0359629;0.037123;0.0348028;0.00928074;0.00696056;0.00232019;0;0;0;0.037123;0.0707657;0.0719258;0.0846868;0.12065;0.0916473;0.0916473;0.0533643;0.0359629;0.0116009;0.00928074;0;0.00116009;0.0336427
0;42;3;0;35;1;0;0.00745;0;0.0416107;0.0456376;0.0483221;0.0671141;0.0442953;0.0402685;0.0362416;0.0228188;0.0107383;0.00268456;0.00268456;0.00134228;0;0.0322148;0.0510067;0.0778523;0.111409;0.0832215;0.095302;0.0765101;0.0496644;0.0228188;0.0174497;0.00671141;0.00134228;0;0.00939597
0;46;3;0;5;1;0;0.00793;0;0.035309;0.037831;0.0453972;0.0617907;0.0567465;0.0466583;0.0201765;0.0176545;0.0037831;0.00252207;0;0;0;0.0340479;0.0781841;0.0554855;0.0857503;0.114754;0.0933165;0.0794451;0.0580076;0.0226986;0.0189155;0.0100883;0;0.00252207;0.0176545
